Id_student,Sex,Durata_utilizare_smartphone,Varsta_utilizare_smartphone,Adictie_smartphone
274,M,6.5,14.2,41
275,F,10.3,15.1,43.5
276,M,6.4,13.3,41.8
277,F,8.4,15.8,39.4
278,M,8.6,14,41.7
279,F,7.5,13.6,41.1
280,M,6.2,14.3,42.7
281,F,7.8,19.3,39.8
282,M,7.2,14.1,41.5
283,M,5.7,10,41.4
284,M,8.1,15.3,45
285,F,7.9,17.5,43.9
286,F,6.6,15.1,36.3
287,F,3.7,13.2,40.1
288,F,6,13.2,43.5
289,F,7.1,12.9,38.1
290,F,6.9,11.8,40.9
291,M,8.2,17.7,43.2
292,F,7.8,14.2,43.2
293,M,8.2,13.7,41.7
294,M,5.7,15.3,41.3
295,F,7.8,15.7,42.6
296,F,7.4,12,43.2
297,F,6.8,12,37.9
298,M,6.7,12,43.4
299,F,7.5,11,42.5
300,F,6.5,13.6,40.4
